city,station,year,pollutant,station_val,city_avg
Delhi,"Jahangirpuri, Delhi - DPCC",2020,PM2.5,123.0,97
Delhi,"Jahangirpuri, Delhi - DPCC",2021,PM2.5,136.0,107
Delhi,"Jahangirpuri, Delhi - DPCC",2022,PM2.5,127.0,99
Delhi,"Jahangirpuri, Delhi - DPCC",2023,PM2.5,125.0,101
Delhi,"Jahangirpuri, Delhi - DPCC",2024,PM2.5,129.0,105
Delhi,"Jahangirpuri, Delhi - DPCC",2025,PM2.5,130.0,102
Delhi,"Jahangirpuri, Delhi - DPCC",2026,PM2.5,135.0,100
Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",2015,PM2.5,,135
Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",2016,PM2.5,,166
Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",2017,PM2.5,,134
Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018,PM2.5,103.0,116
Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",2019,PM2.5,104.0,109
Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",2020,PM2.5,87.0,97
Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",2021,PM2.5,99.0,107
Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",2022,PM2.5,93.0,99
Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",2023,PM2.5,92.0,101
Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",2024,PM2.5,85.0,105
Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",2025,PM2.5,83.0,102
Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",2026,PM2.5,104.0,100
Delhi,"Lodhi Road, Delhi - IMD",2015,PM2.5,80.0,135
Delhi,"Lodhi Road, Delhi - IMD",2016,PM2.5,135.0,166
Delhi,"Lodhi Road, Delhi - IMD",2017,PM2.5,150.0,134
Delhi,"Lodhi Road, Delhi - IMD",2018,PM2.5,90.0,116
Delhi,"Lodhi Road, Delhi - IMD",2019,PM2.5,85.0,109
Delhi,"Lodhi Road, Delhi - IMD",2020,PM2.5,75.0,97
Delhi,"Lodhi Road, Delhi - IMD",2021,PM2.5,82.0,107
Delhi,"Lodhi Road, Delhi - IMD",2022,PM2.5,71.0,99
Delhi,"Lodhi Road, Delhi - IMD",2023,PM2.5,76.0,101
Delhi,"Lodhi Road, Delhi - IMD",2024,PM2.5,79.0,105
Delhi,"Lodhi Road, Delhi - IMD",2025,PM2.5,86.0,102
Delhi,"Lodhi Road, Delhi - IMD",2026,PM2.5,77.0,100
Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",2015,PM2.5,,135
Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",2016,PM2.5,,166
Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",2017,PM2.5,,134
Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",2018,PM2.5,102.0,116
Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",2019,PM2.5,94.0,109
Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",2020,PM2.5,86.0,97
Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",2021,PM2.5,98.0,107
Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",2022,PM2.5,99.0,99
Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",2023,PM2.5,99.0,101
Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",2024,PM2.5,105.0,105
Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",2025,PM2.5,90.0,102
Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",2026,PM2.5,87.0,100
Delhi,"Mandir Marg, Delhi - DPCC",2015,PM2.5,96.0,135
Delhi,"Mandir Marg, Delhi - DPCC",2016,PM2.5,120.0,166
Delhi,"Mandir Marg, Delhi - DPCC",2017,PM2.5,106.0,134
